user_id,grupo,compro
470,A,1
576,A,1
1899,B,0
362,A,0
168,A,0
373,A,0
2392,B,0
1931,B,0
2384,B,0
1348,B,0
2107,B,1
1628,B,0
1034,A,0
1101,A,0
591,A,0
548,A,0
2047,B,0
55,A,0
754,A,0
2072,B,0
1759,B,0
587,A,0
1748,B,0
1357,B,1
705,A,0
2,A,1
956,A,0
1066,A,0
2067,B,0
2274,B,0
85,A,0
782,A,0
1842,B,0
1799,B,0
1043,A,0
852,A,0
408,A,0
67,A,0
259,A,0
326,A,0
1812,B,0
389,A,0
2080,B,0
353,A,0
949,A,0
1932,B,0
1990,B,0
1176,A,0
890,A,0
1653,B,0
2302,B,0
309,A,0
418,A,0
2153,B,0
1455,B,0
1430,B,1
715,A,0
1772,B,0
723,A,0
240,A,0
2466,B,0
1047,A,0
2497,B,0
1566,B,0
2269,B,0
1045,A,0
697,A,0
563,A,0
1384,B,0
344,A,0
2290,B,0
80,A,0
222,A,0
998,A,0
172,A,0
1292,B,0
801,A,0
2293,B,0
37,A,0
1906,B,0
2251,B,0
1432,B,0
229,A,0
2151,B,0
476,A,1
2148,B,0
1767,B,0
2168,B,0
32,A,0
704,A,0
478,A,0
1851,B,0
468,A,0
297,A,0
24,A,0
984,A,0
1666,B,1
1714,B,0
1661,B,0
921,A,0
1671,B,0
539,A,0
1315,B,0
1018,A,0
2254,B,1
223,A,0
234,A,0
1249,A,1
1919,B,0
2253,B,0
1308,B,0
592,A,0
1214,A,0
1534,B,0
2276,B,0
753,A,0
811,A,1
666,A,0
497,A,0
1745,B,0
1186,A,1
1920,B,0
2019,B,0
1267,B,0
647,A,0
1139,A,0
1782,B,1
81,A,0
1453,B,1
158,A,0
318,A,0
2271,B,0
2459,B,0
689,A,0
756,A,0
1895,B,0
157,A,0
79,A,0
2405,B,0
2048,B,0
538,A,0
2303,B,0
35,A,1
2450,B,0
14,A,0
1605,B,0
264,A,0
1330,B,0
773,A,0
359,A,1
1275,B,0
1346,B,0
2364,B,0
1672,B,1
900,A,0
1324,B,0
178,A,0
1564,B,0
49,A,0
286,A,0
535,A,0
2194,B,0
1711,B,0
440,A,0
1512,B,0
1429,B,0
1398,B,0
741,A,0
775,A,0
894,A,0
1968,B,0
1262,B,0
1890,B,1
117,A,0
51,A,1
2376,B,0
1560,B,1
2333,B,0
1738,B,0
531,A,0
1609,B,0
2032,B,0
1075,A,1
1351,B,1
2432,B,1
347,A,0
7,A,0
1074,A,0
1464,B,0
1543,B,0
1023,A,1
325,A,1
411,A,0
1923,B,0
1869,B,0
1253,A,0
605,A,0
2201,B,1
174,A,0
134,A,0
795,A,0
1368,B,1
1236,A,0
909,A,0
507,A,1
1311,B,0
1183,A,0
2354,B,1
1847,B,0
1499,B,0
1675,B,0
1233,A,0
1219,A,0
2403,B,0
1248,A,0
730,A,0
555,A,0
2130,B,0
2061,B,0
995,A,0
1173,A,0
566,A,0
969,A,0
1140,A,0
713,A,0
1651,B,0
1050,A,0
1334,B,1
2355,B,0
200,A,0
1469,B,1
1790,B,0
1426,B,1
255,A,0
711,A,0
1109,A,0
1618,B,0
1254,B,0
2172,B,0
409,A,1
2336,B,0
1867,B,0
922,A,0
792,A,0
1375,B,0
2338,B,0
102,A,0
1636,B,0
710,A,0
2216,B,0
788,A,0
2036,B,0
1407,B,1
2064,B,0
1669,B,0
1055,A,1
1336,B,0
652,A,0
473,A,0
1079,A,0
131,A,0
1963,B,1
815,A,0
29,A,0
1205,A,0
2199,B,0
402,A,1
755,A,0
1252,A,0
1830,B,0
2410,B,0
1840,B,0
2361,B,0
636,A,0
1757,B,1
1243,A,0
1374,B,0
562,A,0
2294,B,0
1451,B,0
626,A,0
1412,B,0
2083,B,0
1515,B,0
2374,B,0
2259,B,0
2427,B,0
2311,B,0
703,A,0
133,A,0
617,A,0
1345,B,0
604,A,0
2140,B,1
673,A,0
1076,A,0
1070,A,0
2328,B,0
978,A,0
1944,B,0
1754,B,0
320,A,0
1612,B,0
1871,B,0
1049,A,0
1826,B,0
1592,B,1
1198,A,1
1624,B,1
2425,B,0
169,A,0
1948,B,0
2025,B,0
546,A,0
1779,B,0
1417,B,0
142,A,0
841,A,0
2389,B,0
1896,B,0
2074,B,1
243,A,1
1213,A,0
1868,B,0
1905,B,0
2395,B,1
1744,B,0
1811,B,0
824,A,0
18,A,0
2437,B,0
394,A,0
1602,B,0
1004,A,0
127,A,0
1434,B,0
1058,A,0
1569,B,0
